epoch, train_loss, train_acc
1, 1.3134085601552978, 0.5186
2, 0.8566665746976653, 0.69366
3, 0.6403171649521879, 0.7727
4, 0.4854089969106952, 0.8317
5, 0.35466534147024764, 0.87636
6, 0.14988111125310058, 0.96162
7, 0.09888903497506285, 0.9806
8, 0.07576897625080155, 0.988
9, 0.05892536072227199, 0.99296
10, 0.04732104564261863, 0.99598
11, 0.03781643740432646, 0.998
12, 0.03623287380218049, 0.9983
13, 0.035481976111755346, 0.99836
14, 0.03505122712563218, 0.9985
15, 0.03430957806861157, 0.99854
16, 0.03359707065707887, 0.9988
17, 0.033158367990380355, 0.99884
18, 0.03344817681099905, 0.9987
19, 0.033388461522243514, 0.99874
20, 0.032958332439670175, 0.99884
21, 0.03332057505217202, 0.99878
22, 0.03331298800304418, 0.99874
23, 0.03289715959535688, 0.99884
24, 0.032964616370818496, 0.99884
25, 0.03301885058565061, 0.9986
26, 0.03292727922958791, 0.99874
27, 0.03298084633162869, 0.99892
28, 0.03310282613196031, 0.99882
29, 0.03308841297903177, 0.99868
30, 0.033215250581731574, 0.99854
