epoch, train_loss, train_acc
1, 1.4832003794972548, 0.45272
2, 1.0266494023830384, 0.63072
3, 0.8182573742268945, 0.71002
4, 0.6907087792368496, 0.75822
5, 0.6160718225457175, 0.78488
6, 0.5558869902740049, 0.80766
7, 0.5118655134040071, 0.82236
8, 0.47654714326724373, 0.83452
9, 0.4469498981676443, 0.84494
10, 0.415611510843877, 0.85786
11, 0.3959172498768248, 0.86142
12, 0.3759045956079917, 0.86854
13, 0.358892228559155, 0.8751
14, 0.34067742233081244, 0.88222
15, 0.3276187297328354, 0.88642
16, 0.3179393070356925, 0.89098
17, 0.3010114294183833, 0.896
18, 0.2943263881270538, 0.89858
19, 0.28271892388610886, 0.90398
20, 0.2801046025227098, 0.90408
21, 0.2695991061532589, 0.9053
22, 0.26660561786435755, 0.90756
23, 0.26198898111005575, 0.91046
24, 0.2598299511024714, 0.9098
25, 0.2473164789778802, 0.91482
26, 0.24908181316102557, 0.91332
27, 0.2411585391482429, 0.91602
28, 0.23578328818387692, 0.9187
29, 0.23162243044589792, 0.921
30, 0.22670512715035387, 0.92142
