epoch, train_loss, train_acc
1, 1.3751016969571028, 0.5003
2, 0.8542446239525096, 0.69434
3, 0.6477101205102623, 0.77042
4, 0.5265047076870414, 0.81556
5, 0.4258933759787503, 0.85092
6, 0.3535765730740164, 0.87664
7, 0.2900298733426177, 0.89808
8, 0.24068508783112402, 0.91664
9, 0.2051890274257306, 0.92944
10, 0.1899561031871592, 0.93464
11, 0.1753265308621137, 0.93864
12, 0.16012127120095446, 0.9456
13, 0.15054535220765397, 0.94814
14, 0.14599033530868227, 0.95032
15, 0.14638510891391188, 0.94964
16, 0.13050201370397493, 0.95578
17, 0.13409106535336857, 0.95466
18, 0.140506302494832, 0.9513
19, 0.12226153515717562, 0.95928
20, 0.13463237805916067, 0.95456
21, 0.12905426856482882, 0.9568
22, 0.11938898907998181, 0.95974
23, 0.1329232722597049, 0.95494
24, 0.10635823336289361, 0.96488
25, 0.12449433177214145, 0.95744
26, 0.12378588337879962, 0.9585
27, 0.11692409102073716, 0.96132
28, 0.12353968928518046, 0.95902
29, 0.1158657670449799, 0.9613
30, 0.10703536039194488, 0.96378
