epoch, train_loss, train_acc
1, 1.4003338949454716, 0.489
2, 0.9837094296884659, 0.65074
3, 0.8155969672495752, 0.7134
4, 0.6965338776788443, 0.75572
5, 0.6177391144625671, 0.78332
6, 0.5555453168614136, 0.80684
7, 0.5109484119488455, 0.82384
8, 0.4689501948521265, 0.83906
9, 0.43464021037911515, 0.8499
10, 0.41020217145342963, 0.85824
11, 0.37988301791498424, 0.86846
12, 0.35843355587833675, 0.87772
13, 0.336721001721709, 0.88332
14, 0.3221460062143443, 0.88992
15, 0.30382179931911363, 0.89582
16, 0.2894904486206182, 0.90086
17, 0.2786562059389051, 0.90458
18, 0.2649213704459198, 0.9111
19, 0.25443305261909505, 0.91284
20, 0.24111769792368953, 0.91828
21, 0.23438774135030443, 0.92
22, 0.22287676837819312, 0.925
23, 0.21824922155388785, 0.92514
24, 0.20796128753048684, 0.92962
25, 0.20435688454095666, 0.93124
26, 0.1974110129810965, 0.93378
27, 0.19281723714240676, 0.93508
28, 0.18800709156505288, 0.9367
29, 0.18626657362712923, 0.93772
30, 0.17837113345904118, 0.94086
